seed,trial
721735354,1
1653298151,2
438540986,3
535251819,4
333357448,5
51609930,6
146181800,7
1580192872,8
478655525,9
1707165597,10
980091885,11
553916392,12
1017432713,13
428402944,14
259506550,15
1628528528,16
731411468,17
1109874198,18
1673212851,19
340079912,20
1208928586,21
743084573,22
1800815747,23
205331071,24
1348783351,25
984954504,26
1619656260,27
1478551827,28
2024094068,29
548947866,30
1357647552,31
1300634298,32
1145064969,33
1156614761,34
1556354994,35
1115669190,36
1732048735,37
65506475,38
703146532,39
1229832265,40
1220716420,41
1623917106,42
1955649200,43
916684454,44
585165773,45
50414709,46
1870779480,47
1593196615,48
1393118822,49
791522835,50
1143910049,51
898217538,52
452220719,53
176842458,54
339562500,55
1396184080,56
645146374,57
1775678407,58
1376758371,59
928478860,60
931385979,61
1377579824,62
434400778,63
590834567,64
1631539740,65
1354268251,66
1450260745,67
1418365403,68
423894031,69
317229498,70
2093830586,71
772201617,72
1490895981,73
452711610,74
393687784,75
1171005449,76
1667321650,77
641090349,78
693902083,79
1879771613,80
1969979900,81
1556144422,82
1092993648,83
1673276972,84
1230474273,85
2136480730,86
372565431,87
806127533,88
729925742,89
806195456,90
844385971,91
691869996,92
1106204532,93
1520574394,94
1494373120,95
2026691049,96
1383108324,97
883516424,98
1392633875,99
1791510390,100
994303050,101
1471905329,102
1519805220,103
972861219,104
1483999334,105
981236228,106
351679746,107
123992360,108
1062674084,109
794016763,110
1381617531,111
1674352793,112
1458354131,113
1920931033,114
1011178704,115
1396861602,116
24419850,117
366863924,118
321671218,119
2061604987,120
289520673,121
616304959,122
848124266,123
1348991866,124
1074246770,125
957301079,126
645438982,127
1088128208,128
181762186,129
1615917864,130
1099558183,131
244489870,132
1856547793,133
220409132,134
218444668,135
34846981,136
1828056307,137
814897862,138
410981255,139
816858063,140
524550663,141
101868729,142
691887758,143
1888616258,144
1371188975,145
679647669,146
459907930,147
1117623543,148
2032457451,149
683632379,150
422138313,151
2129443311,152
802726168,153
1303153423,154
1553923061,155
383979079,156
116760193,157
697364674,158
407818163,159
2117969139,160
1086141738,161
1371555216,162
1428720246,163
1915933289,164
2004806791,165
1111589203,166
1667965599,167
560852032,168
1065291165,169
1666784279,170
398280731,171
1450475399,172
404319395,173
1249643606,174
1324277885,175
1622490725,176
2080695026,177
187719658,178
234996872,179
642185092,180
544086828,181
803394129,182
657464513,183
401570497,184
1431980365,185
1253513690,186
399591916,187
1084156740,188
2081834799,189
1453657338,190
375084636,191
1078222051,192
1039971559,193
1201432249,194
2131514557,195
366009023,196
98959166,197
1811954312,198
444786206,199
1090218450,200
392482781,201
469142439,202
1551124999,203
215695968,204
1390580064,205
1838335683,206
202765164,207
1892982664,208
290621337,209
508990842,210
1549160914,211
772788209,212
1297910572,213
1340877272,214
1145409336,215
1150424256,216
577603237,217
1997693036,218
1833615097,219
687132532,220
343704914,221
1949676224,222
718641239,223
1056881373,224
1245590757,225
2116321294,226
1633448322,227
1946868486,228
1433817354,229
956622248,230
486774635,231
1637898070,232
669552956,233
196176521,234
1021892458,235
1716400168,236
679743898,237
763272506,238
730702222,239
1597350024,240
1683017186,241
1719991956,242
513282051,243
1712018361,244
1500199367,245
1061249647,246
1619294270,247
767547274,248
789828905,249
2123414421,250
1272593167,251
1779651867,252
242259178,253
931411055,254
2018888986,255
901253846,256
139694724,257
1250088855,258
2102890458,259
66226262,260
1982971153,261
1187625584,262
1348611570,263
1366584562,264
558048932,265
710562264,266
1278334015,267
106211581,268
177025430,269
1627642111,270
658323767,271
1918431171,272
1511851154,273
1715847360,274
1040064028,275
917893298,276
511202517,277
366337665,278
1380747761,279
804821309,280
2142530253,281
1815206704,282
54630235,283
789345500,284
1922724627,285
497534607,286
1939206430,287
348020130,288
1791542201,289
839709420,290
1089207295,291
1204346047,292
1060058656,293
633325583,294
1741168435,295
529399232,296
1321795929,297
1695409199,298
1635898878,299
1251533751,300
446474868,301
1190843539,302
905588901,303
1512647514,304
368940833,305
2146550135,306
483378550,307
330897766,308
161471765,309
815357894,310
441208431,311
1050713648,312
1194394504,313
54539650,314
787290458,315
1863653245,316
2035323192,317
1316638799,318
852840366,319
61171926,320
778393500,321
1373231762,322
1581254760,323
162080305,324
2075760646,325
334630425,326
715604695,327
1665818506,328
280497794,329
571660872,330
115331742,331
1370475506,332
873920480,333
766689046,334
1087212539,335
1872656350,336
331362941,337
1954976599,338
470381239,339
1219744529,340
1878115287,341
2119942438,342
1537572781,343
575097430,344
376153863,345
117012651,346
518556838,347
1865348191,348
992148877,349
153657665,350
35388534,351
81897856,352
565296129,353
722248769,354
358923682,355
189444603,356
99221848,357
1863351989,358
594347585,359
722211682,360
1197575343,361
682835086,362
103283128,363
594351853,364
1531306613,365
2074537504,366
1316345057,367
678569995,368
2058731539,369
1817259681,370
1781109616,371
1302057824,372
1014896512,373
1845384188,374
1477477946,375
1274288209,376
927672027,377
747242354,378
695557753,379
2070377975,380
1403423401,381
587073258,382
1281644550,383
1348227960,384
218329108,385
2019676775,386
1545040669,387
86969700,388
971793860,389
244361146,390
1657834929,391
1050025525,392
1854254421,393
1769224980,394
1378763381,395
573364766,396
1092354163,397
820897972,398
1920594215,399
515395841,400
2082059852,401
1334331035,402
830072679,403
189092513,404
1652793831,405
1202773051,406
2076024387,407
893946505,408
1877990754,409
1942120028,410
1358575607,411
1529742043,412
1300821250,413
662665567,414
1616763577,415
1059893755,416
1927130037,417
1060067382,418
1619662864,419
1121280202,420
1019604044,421
42597882,422
386685373,423
1730022690,424
41495173,425
457972754,426
489278748,427
462212638,428
1967713259,429
616159136,430
1952997135,431
1116097608,432
1402576596,433
2029344848,434
675172959,435
892647925,436
57936872,437
1615145621,438
487612498,439
1568824227,440
199382841,441
886600723,442
1604960480,443
427258342,444
1379361702,445
853658818,446
334563888,447
16458702,448
1280610579,449
2110012169,450
23951288,451
219853261,452
805517184,453
661687566,454
1555955215,455
546556344,456
2120521380,457
502282406,458
2144569531,459
152745341,460
927717582,461
865401473,462
1415819850,463
1076047305,464
2080451888,465
960797974,466
1505267355,467
1134603129,468
1959363717,469
1541330784,470
1209240699,471
89409625,472
598046676,473
2132310923,474
2056707928,475
570298701,476
1599801718,477
1156686388,478
60751667,479
481288246,480
2069824999,481
1911597903,482
1388026694,483
1273564263,484
1491307408,485
1361298675,486
1930070522,487
1132504701,488
360162126,489
1711203918,490
1947849565,491
23425161,492
20663093,493
2040340780,494
1502320345,495
1369186858,496
316867306,497
562705606,498
709199019,499
2032437164,500
69478414,501
443250491,502
142563577,503
320744554,504
323343225,505
369890090,506
1109084404,507
431855514,508
1372687901,509
500486651,510
207211535,511
644755630,512
1820686319,513
712464729,514
98947085,515
74753278,516
1443104839,517
621413571,518
1136111305,519
2018279829,520
1485792186,521
188612727,522
1187758088,523
698437724,524
1256789468,525
1619899594,526
1025890971,527
1938942003,528
314603289,529
1298382282,530
116408680,531
1832619716,532
344514553,533
390250228,534
803056235,535
1873813649,536
1736627573,537
2098112476,538
1614592813,539
1454483998,540
656929239,541
1564309584,542
1259432155,543
288000187,544
66200995,545
1544103610,546
634868619,547
603377769,548
321556966,549
1903969221,550
1723363847,551
576362536,552
1934377021,553
688343491,554
659411894,555
1287297191,556
1298038078,557
776019221,558
438525999,559
577939932,560
123878231,561
809848678,562
1032898700,563
1985370378,564
1731212302,565
74600199,566
1199045401,567
1298247997,568
843253402,569
1140376171,570
327179043,571
329644469,572
669072361,573
1620472576,574
549446849,575
665968685,576
173192467,577
1457592081,578
1567276472,579
474186385,580
1470199597,581
1721666937,582
