STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,PSUN,TAVG,TMAX,TMIN,WDMV,MONTH,DAY,TIMES,SPINDEX
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-01,NA,0,NA,56,69,46,NA,07,01,1,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-02,NA,5.08,NA,50,62,40,NA,07,02,2,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-03,NA,0,NA,46,57,33,NA,07,03,3,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-04,NA,2.54,NA,53,65,38,NA,07,04,4,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-05,NA,0,NA,60,73,44,NA,07,05,5,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-06,NA,0,NA,59,71,48,NA,07,06,6,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-07,NA,0,NA,52,64,41,NA,07,07,7,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-08,NA,0,NA,54,65,40,NA,07,08,8,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-09,NA,0,NA,57,69,43,NA,07,09,9,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-10,NA,0,NA,60,73,48,NA,07,10,10,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-11,NA,0,NA,62,75,47,NA,07,11,11,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-12,NA,0,NA,64,79,49,NA,07,12,12,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-13,NA,0,NA,63,75,52,NA,07,13,13,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-14,NA,0,NA,59,72,48,NA,07,14,14,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-15,NA,0,NA,57,67,49,NA,07,15,15,15
USS0019F01S,"SNOW MOUNTAIN, OR US",212.02575865110475,402.8660593579601,1898.9,2019-07-16,NA,0,NA,56,69,41,NA,07,16,16,15
