"","seed"
"1",721735354
"2",1653298151
"3",438540986
"4",535251819
"5",333357448
"6",51609930
"7",146181800
"8",1580192872
"9",478655525
"10",1707165597
"11",980091885
"12",553916392
"13",1017432713
"14",428402944
"15",259506550
"16",1628528528
"17",731411468
"18",1109874198
"19",1673212851
"20",340079912
"21",1208928586
"22",743084573
"23",1800815747
"24",205331071
"25",1348783351
"26",984954504
"27",1619656260
"28",1478551827
"29",2024094068
"30",548947866
"31",1357647552
"32",1300634298
"33",1145064969
"34",1156614761
"35",1556354994
"36",1115669190
"37",1732048735
"38",65506475
"39",703146532
"40",1229832265
"41",1220716420
"42",1623917106
"43",1955649200
"44",916684454
"45",585165773
"46",50414709
"47",1870779480
"48",1593196615
"49",1393118822
"50",791522835
"51",1143910049
"52",898217538
"53",452220719
"54",176842458
"55",339562500
"56",1396184080
"57",645146374
"58",1775678407
"59",1376758371
"60",928478860
"61",931385979
"62",1377579824
"63",434400778
"64",590834567
"65",1631539740
"66",1354268251
"67",1450260745
"68",1418365403
"69",423894031
"70",317229498
"71",2093830586
"72",772201617
"73",1490895981
"74",452711610
"75",393687784
"76",1171005449
"77",1667321650
"78",641090349
"79",693902083
"80",1879771613
"81",1969979900
"82",1556144422
"83",1092993648
"84",1673276972
"85",1230474273
"86",2136480730
"87",372565431
"88",806127533
"89",729925742
"90",806195456
"91",844385971
"92",691869996
"93",1106204532
"94",1520574394
"95",1494373120
"96",2026691049
"97",1383108324
"98",883516424
"99",1392633875
"100",1791510390
"101",994303050
"102",1471905329
"103",1519805220
"104",972861219
"105",1483999334
"106",981236228
"107",351679746
"108",123992360
"109",1062674084
"110",794016763
"111",1381617531
"112",1674352793
"113",1458354131
"114",1920931033
"115",1011178704
"116",1396861602
"117",24419850
"118",366863924
"119",321671218
"120",2061604987
"121",289520673
"122",616304959
"123",848124266
"124",1348991866
"125",1074246770
"126",957301079
"127",645438982
"128",1088128208
"129",181762186
"130",1615917864
"131",1099558183
"132",244489870
"133",1856547793
"134",220409132
"135",218444668
"136",34846981
"137",1828056307
"138",814897862
"139",410981255
"140",816858063
"141",524550663
"142",101868729
"143",691887758
"144",1888616258
"145",1371188975
"146",679647669
"147",459907930
"148",1117623543
"149",2032457451
"150",683632379
"151",422138313
"152",2129443311
"153",802726168
"154",1303153423
"155",1553923061
"156",383979079
"157",116760193
"158",697364674
"159",407818163
"160",2117969139
"161",1086141738
"162",1371555216
"163",1428720246
"164",1915933289
"165",2004806791
"166",1111589203
"167",1667965599
"168",560852032
"169",1065291165
"170",1666784279
"171",398280731
"172",1450475399
"173",404319395
"174",1249643606
"175",1324277885
"176",1622490725
"177",2080695026
"178",187719658
"179",234996872
"180",642185092
"181",544086828
"182",803394129
"183",657464513
"184",401570497
"185",1431980365
"186",1253513690
"187",399591916
"188",1084156740
"189",2081834799
"190",1453657338
"191",375084636
"192",1078222051
"193",1039971559
"194",1201432249
"195",2131514557
"196",366009023
"197",98959166
"198",1811954312
"199",444786206
"200",1090218450
"201",392482781
"202",469142439
"203",1551124999
"204",215695968
"205",1390580064
"206",1838335683
"207",202765164
"208",1892982664
"209",290621337
"210",508990842
"211",1549160914
"212",772788209
"213",1297910572
"214",1340877272
"215",1145409336
"216",1150424256
"217",577603237
"218",1997693036
"219",1833615097
