"","seed"
"1",794080207
"2",314911494
"3",1906307464
"4",554751325
"5",2010156236
"6",226245929
"7",1118907979
"8",1740692099
"9",2046114256
"10",1910444850
"11",695362359
"12",1446913672
"13",1491500321
"14",641031017
"15",1986994660
"16",44706342
"17",1332272750
"18",61317264
"19",1479297262
"20",718218886
"21",2068990985
"22",494283208
"23",1907149693
"24",2038782302
"25",8507255
"26",30475203
"27",787738115
"28",1182846935
"29",1227881769
"30",489469391
"31",1159783186
"32",537346724
"33",1542221824
"34",1667069477
"35",939200738
"36",1184124790
"37",181153607
"38",787595622
"39",1237245484
"40",1729335964
"41",1505995785
"42",107570863
"43",858905414
"44",2025149152
"45",1001543439
"46",2047632803
"47",1632079734
"48",1992045152
"49",1833703377
"50",495218854
"51",863006074
"52",2064176181
"53",1232574607
"54",1713599505
"55",633151729
"56",105888895
"57",1603572491
"58",1397280847
"59",1600724046
"60",1944359339
"61",158351052
"62",2056839872
"63",1035059673
"64",269897244
"65",831739393
"66",885254998
"67",98039481
"68",1356638822
"69",144101724
"70",795698759
"71",766462227
"72",556027092
"73",1905572591
"74",722227145
"75",2055490202
"76",782392411
"77",1734304993
"78",1202079935
"79",1519201305
"80",340413125
"81",1461907966
"82",193118758
"83",1275111084
"84",365033914
"85",58493428
"86",2000493024
"87",1102767401
"88",1666239319
"89",1500652421
"90",646417220
"91",1912312414
"92",1948370879
"93",508024397
"94",374390693
"95",279909348
"96",451307549
"97",2039949875
"98",13054874
"99",857746843
"100",1176248689
"101",1540597034
"102",441579732
"103",1617744306
"104",973812958
"105",834420118
"106",2060420662
"107",1401793472
"108",2051739331
"109",1446249275
"110",1558459823
"111",653389714
"112",1722711136
"113",779475619
"114",1773435346
"115",917754987
"116",755062519
"117",1678608226
"118",1607746104
"119",182269772
"120",930838875
"121",1686785342
"122",237158742
"123",1960375374
"124",1431798854
"125",636443481
"126",878580886
"127",1080429867
"128",1024394118
"129",181880870
"130",174891486
"131",1094520075
"132",556882796
"133",1323478003
"134",94023814
"135",1663666567
"136",1653729800
"137",1498827556
"138",1220574820
"139",2072591939
"140",313539406
"141",1202256017
"142",682863501
"143",901250458
"144",146379531
"145",1169251179
"146",1102336259
"147",1049853931
"148",896821815
"149",901518516
"150",684163341
"151",1440709834
"152",1858593142
"153",1137774092
"154",855617492
"155",1714752438
"156",384921822
"157",1193812957
"158",767691824
"159",453735229
"160",1064185178
"161",665070084
"162",1124014165
"163",1694185110
"164",603537908
"165",406327814
"166",809033607
"167",2066310164
"168",76811112
"169",462852608
"170",1456066726
"171",1554176618
"172",1286341902
"173",97344784
"174",545450618
"175",785216215
"176",1104451609
"177",1702944677
"178",751554365
"179",1263704794
"180",224047355
"181",650261337
"182",444465982
"183",655113719
"184",553717487
"185",888276947
"186",1633420333
"187",43230452
"188",845129839
"189",1101791087
"190",827788536
"191",436632301
"192",2016035878
"193",383360137
"194",1696500261
"195",1553121438
"196",1109060741
"197",1412900873
"198",924261603
"199",840883088
"200",978043996
"201",503157167
"202",661260523
"203",2138691049
"204",371742417
"205",716754611
"206",641905828
"207",1939083901
"208",1558947237
"209",968780839
"210",392809540
"211",1492975660
"212",1288417699
"213",1991844153
"214",325357899
"215",236851142
"216",748087806
"217",1665487655
"218",398054596
"219",546430563
"220",1946058696
"221",664547741
"222",1128959012
"223",918401304
"224",2030734944
"225",120600435
"226",775536379
"227",1993679662
"228",1350292745
"229",1521810063
"230",2096079482
"231",1898972054
"232",108821632
"233",1150403483
"234",2096217909
"235",182808782
"236",627339556
"237",1220219610
"238",796117882
"239",164103756
"240",1195366217
"241",2007548574
"242",2139211552
"243",1630240344
"244",896433362
"245",1211361645
"246",1228315583
"247",176160536
"248",476067293
"249",1364060135
"250",1389334424
"251",824676186
"252",1471822857
"253",1845148825
"254",1609137435
"255",1290710748
"256",797513787
"257",1635018800
"258",1665505161
"259",1445561665
"260",1855382142
"261",1762463157
"262",1979234211
"263",1605109673
"264",119255791
"265",1111548932
"266",347206821
"267",2032673762
"268",763677324
"269",863520159
"270",2084626572
"271",14021960
"272",2066806221
"273",8062393
"274",473481057
"275",425510859
"276",1914592160
"277",2086635205
"278",1496219725
"279",1479906617
"280",115140658
"281",2057765826
"282",1039366715
"283",1716342760
"284",1137872200
"285",1767578497
"286",1944753334
"287",1630195339
"288",10606086
"289",1735721125
"290",1988374943
"291",556212724
"292",951424675
"293",152617422
"294",1751848534
"295",1853733155
"296",1553231957
"297",696911924
"298",77249847
"299",366230251
"300",1060177641
"301",1611404975
"302",1615739278
"303",1338909758
"304",127482255
"305",1150919490
"306",1225741672
"307",331759922
"308",1380926728
"309",1687005766
"310",1064696778
"311",845458109
"312",1373591594
"313",1321993814
"314",103927676
"315",1221999065
"316",784818504
"317",1667474846
"318",201173575
"319",151203009
"320",1806007796
"321",1327360227
"322",1555056388
"323",1381408401
"324",611106702
"325",498479261
"326",867265752
"327",1433096853
"328",2026534725
"329",1862115788
"330",1621696447
"331",1410630431
"332",1997466738
"333",1817576914
"334",1147013033
"335",1495144852
"336",1629316646
"337",1194329771
"338",2110773285
"339",1856363889
"340",742208263
"341",298265225
"342",647321521
"343",423966301
"344",393184374
"345",1135127466
"346",1721110588
"347",1610026924
"348",1448692049
"349",1272291146
"350",640255525
"351",1835066931
"352",1062768159
"353",1527647771
"354",1886415283
"355",2104820191
"356",1800218830
"357",744246368
"358",1278424547
"359",1154451740
"360",210584871
"361",1890116507
"362",1815366985
"363",1545718055
"364",1328611281
"365",127618609
"366",546413260
"367",1391325480
"368",1630621833
"369",1608089910
"370",71381820
"371",1845781412
"372",2099556355
"373",905409229
"374",1678352468
"375",2088454725
"376",1090216998
"377",1724250549
"378",2123196643
"379",269748217
"380",1176763427
"381",1436317056
"382",988015562
"383",245275875
"384",1019181018
"385",1743754641
"386",247869162
"387",79062266
"388",2098538183
"389",1809037170
"390",1273454220
"391",312435621
"392",1760076939
"393",1655181742
"394",1324355911
"395",1948397084
"396",576111460
"397",696592405
"398",1590310910
"399",390378347
"400",1378006946
"401",1783465997
"402",13910154
"403",666755324
"404",874091875
"405",1307657157
"406",1742627168
"407",1034868626
"408",30505463
"409",1608552735
"410",3596257
"411",104339378
"412",577964804
"413",341513006
"414",469173993
"415",1931267459
"416",406390160
"417",1571919116
"418",673416112
"419",1900403693
"420",491691785
"421",1160548138
"422",449390886
"423",1808260061
"424",1152583048
"425",1718119436
"426",1355557503
"427",868951431
"428",1218263274
"429",506721117
"430",581204079
"431",517241583
"432",1580722357
"433",656595717
"434",1749739102
"435",64187059
"436",2015048320
"437",1416426645
"438",364355163
"439",2127266984
"440",1396936070
"441",76353174
"442",1669602349
"443",249508175
"444",500471800
"445",419555351
"446",1913501863
"447",1020077166
"448",1531777848
"449",93069142
"450",831419874
"451",1160475778
"452",44972092
"453",1718401708
"454",703723173
"455",1903254444
"456",1691959706
"457",1316823472
"458",2066389305
"459",1067455083
"460",347250029
"461",2083833987
"462",198352347
"463",1713518733
"464",1073561517
"465",1404081836
"466",811790121
"467",736220978
"468",2027719645
"469",1733163042
"470",373790984
"471",1889542247
"472",1830749767
"473",1388892693
"474",410390343
"475",467950510
"476",910925394
"477",1516623918
"478",1169946215
"479",32669437
"480",1305483672
"481",609412911
"482",234657812
"483",796254760
"484",2013066671
"485",1910132884
"486",490899080
"487",207144408
"488",118729901
"489",736687120
"490",733391055
"491",1319905748
"492",270494087
"493",1728803969
"494",597412944
"495",656112220
"496",2102913823
"497",449012785
"498",750401406
"499",1812659235
"500",242953691
"501",1386548081
"502",995065360
"503",1012015172
"504",1201662972
"505",367811024
"506",1689732714
"507",950357279
"508",1664035775
"509",542188850
"510",1843531135
"511",285592138
"512",242106856
"513",256885520
"514",2084060036
"515",498586599
"516",737303742
"517",1999231902
"518",1020115261
"519",2126447188
"520",1251152851
"521",256160374
"522",1258733973
"523",680756107
"524",243525235
"525",1970274189
"526",1110859187
"527",1507571326
"528",84085465
"529",1976988633
"530",89403357
"531",83308864
"532",1526680013
"533",1953273911
"534",1610594633
"535",1968546545
"536",1301542203
"537",1873487865
"538",1598870330
"539",1694368722
"540",1041830033
"541",157581229
"542",2038187174
"543",865715714
"544",1967428550
"545",716182767
"546",920921413
"547",1400764701
"548",584667204
"549",450108804
"550",2080873964
"551",571818534
"552",877736767
"553",1421950292
"554",1814494886
"555",1863939658
"556",1222891896
"557",1140600644
"558",2051952844
"559",1849980375
"560",281002365
"561",1164206852
"562",954734845
"563",1838437959
"564",377298186
"565",479477134
"566",1824774835
"567",2132120258
"568",1794242759
"569",1566597036
"570",1687571832
"571",1612311417
"572",1135342669
"573",110546937
"574",2028136687
"575",1648937235
"576",550914604
"577",1531270666
"578",87567978
"579",1247252573
"580",1761733736
"581",1249538076
"582",1017377141
"583",1600521478
"584",1293877777
"585",29170323
"586",1599458372
"587",806860054
"588",1589860906
"589",2129416439
"590",1821599814
"591",967649363
"592",816539769
"593",827707480
"594",1956761198
"595",339540092
"596",214450043
"597",1220055563
"598",1886489732
"599",253521380
"600",611522525
"601",568679815
"602",1952221569
"603",796685060
"604",1101766228
"605",1635275096
"606",1414460959
"607",184537627
"608",1905317208
"609",1269709415
"610",784348167
"611",1509483192
"612",480243326
"613",850707743
"614",884656069
"615",222260280
"616",1724499547
"617",1423515675
"618",437057228
"619",1229627047
"620",478777289
"621",1264631115
"622",1188994079
"623",202693720
"624",155014076
"625",1736114444
"626",590929800
"627",913776180
"628",143771748
"629",1567208212
"630",312402472
"631",1801448691
"632",1212551903
"633",685702791
"634",1711932871
"635",364697496
"636",1028014383
"637",2063436879
"638",892321554
"639",2102149898
"640",1309454109
"641",1382749821
"642",106828466
"643",276506618
"644",836602005
"645",1352360222
"646",1203220014
"647",503305728
"648",623242540
"649",741246455
"650",1170593203
"651",1741692817
"652",1969780825
"653",712306667
"654",631913385
"655",1860761464
"656",211172605
"657",1543549191
"658",580249535
"659",595876505
"660",702104176
"661",807652872
"662",2043114567
"663",1964684189
"664",722895309
"665",1616451316
"666",1185873502
"667",1075462291
"668",1173908672
"669",205559236
"670",1693462605
"671",270008836
"672",598313150
"673",1095278607
"674",2103091549
"675",2121806684
"676",941561451
"677",1015034519
"678",151809992
"679",1369967208
"680",179442001
"681",230043474
"682",409104724
"683",261556054
"684",1187698884
"685",1185882903
"686",695281748
"687",1368532767
"688",1654298336
"689",1463186779
"690",1733045120
"691",247271158
"692",865915399
"693",1457124911
"694",1399166943
"695",245628281
"696",78869890
"697",958403447
"698",1419373663
"699",1154685361
"700",1017446886
"701",1684806224
"702",393828196
"703",1617486823
"704",1860397438
"705",119084557
"706",1756219037
"707",310567806
"708",1983082828
"709",848322690
"710",456231750
"711",51314336
"712",1635368862
"713",1359333558
"714",1007513102
"715",425462053
"716",900882952
"717",1413651990
"718",1019885943
"719",2021799844
"720",1797607073
"721",193878976
"722",627762936
"723",1840303624
"724",459902644
"725",1035723278
"726",1319016052
"727",1987893484
"728",1704075545
"729",15474929
"730",784006145
"731",1120656927
"732",2069759326
"733",1588097810
"734",631353461
"735",1573349642
"736",1024502948
"737",1545551562
"738",178972503
"739",2021629309
"740",1589485080
"741",355077963
"742",1969600375
"743",1442605867
"744",911889349
"745",1537618223
"746",1411140279
"747",1501002945
"748",2003731991
"749",1292932276
"750",556324883
"751",701662488
"752",1424924103
"753",349804646
"754",250723725
"755",2117009301
"756",177080948
"757",867261518
"758",498765551
"759",1009668111
"760",5136316
"761",1574764680
"762",574777649
"763",1522506843
"764",2120660560
"765",2127724314
"766",1070847841
"767",238327730
"768",656278710
"769",1661392678
"770",848082955
"771",1596602668
"772",1745376904
"773",1210252822
"774",618465116
"775",1220071550
"776",766979970
"777",124771098
"778",346698250
"779",2008898461
"780",281603777
"781",2127771327
"782",537509061
"783",198998727
"784",583353638
"785",892439258
"786",1297962854
"787",1728175589
"788",1416272758
"789",1982041563
"790",658300232
"791",1880687029
"792",618816277
"793",557229453
"794",1813521899
"795",1699562484
"796",1495642560
"797",29824601
"798",1655569484
"799",1624153981
"800",2115296531
"801",1136677458
"802",49280165
"803",563344097
"804",1784125869
"805",2093425493
"806",1044456485
"807",1432682842
"808",2111900459
"809",1847065519
"810",1375145515
"811",1193034544
"812",694460896
"813",274163488
"814",193185360
"815",1884028978
